1	413	359
2	403	343
3	383.5	351
4	381	377.5
5	339	376
6	335	383
7	317	362
8	334.5	353.5
9	333	342
10	282	325
11	247	301
12	219	316
13	225	270
14	280	292
15	290	335
16	337	328
17	415	335
18	432	371
19	418	374
20	444	394
21	251	277
22	234	271
23	225	265
24	212	290
25	227	300
26	256	301
27	250.5	306
28	243	328
29	246	337
30	314	367
31	315	351
32	326	355
33	327	350
34	328	342.5
35	336	339
36	336	334
37	331	335
38	371	330
39	371	333
40	388.5	330.5
41	411	327.5
42	419	344
43	411	343
44	394	346
45	342	342
46	342	348
47	325	372
48	315	374
49	342	372
50	345	382
51	348.5	380.5
52	351	377
53	348	369
54	370	363
55	371	353
56	354	374
57	363	382.5
58	357	387
59	351	382
60	369	388
61	335	395
62	381	381
63	391	375
64	392	366
65	395	361
66	398	362
67	401	359
68	405	360
69	410	355
70	408	350
71	415	351
72	418	347
73	422	354
74	418.5	356
75	405.5	364.5
76	405	368
77	409	370
78	417	364
79	420	370
80	424	372
81	438	368
82	438.5	373
83	434	376
84	438	385
85	440	392
86	447	392
87	448	381
88	444.5	383
89	441	385
90	440.5	381.5
91	445	380
92	444	360
93	140	130
94	145	118
95	160	96
96	142.5	71
97	150	70
98	186	145
99	158	73.5
100	121	68
101	157	145
102	158	138.5
103	159	135
104	133	114
105	137.5	113
106	144	112
107	139	117
108	144.5	115
109	151	113
110	151.5	118
111	150	111
112	158	118
113	159	109
114	164	108.5
115	163	105
116	149	99.5
117	143	102
118	137	103
119	131	103
120	130	100
121	127	102
122	125	98
123	129	96
124	130	90
125	124	90
126	136	96
127	136	90
128	142	96
129	148	96
130	142	91
131	147	91
132	128	71
133	136.5	76
134	142	79
135	147	81
136	154	86
137	148.5	74.5
138	140	70
139	140	63
140	137.5	63
141	138	59
142	143	63
143	151	69
144	153	63
145	143	60
146	143	57
147	143	51.5
148	160	65
149	162	59
150	141	49
151	143	40
152	151	44
153	150	33
154	164	124
155	171	125
156	165.5	139
157	181	131
158	176	141
159	170	140
160	168	145
161	166	150
162	176	145
163	180	149
164	183	145
165	202	131
166	137.5	462
167	167	399
168	376	400
169	210	390
170	263	445
171	284	409
172	278.5	425
173	295	382
174	299	444
175	362	443
176	410	408.5
177	395	520
178	277	496
179	235	465
180	200	466.5
181	167	462
182	225	443
183	400	447
184	414	422
185	424	400
186	411	396
187	420	401
188	403	404
189	376	406
190	380	404
191	377	424
192	374	424
193	370	423
194	368	427.5
195	374	431
196	365	448
197	356	450
198	358	459
199	354	495
200	357	513
201	359	528
202	347	553
203	261	537.5
204	270	514
205	313	511.5
206	324	511
207	333	511
208	334	497
209	323	497
210	312	498
211	317	451
212	316	448
213	315.5	444
214	316	434
215	318	412
216	291.5	415
217	284	425
218	281	421
219	299	434
220	302	451
221	305	457
222	281	458.5
223	274	448
224	273.5	444
225	267	446
226	270	440
227	275	422
228	276	419
229	270	415
230	276	405
231	288	403
232	293.5	392.5
233	296	387
234	303	386
235	298.5	378
236	293	376
237	296	372
238	276	352
239	250	350
240	247	384
241	262	399
242	269	397
243	276	402
244	282	398.5
245	282	386.5
246	273	389
247	276	361
248	138.5	378
249	155	396
250	163	390
251	173	364
252	183	370
253	238	382
254	213	412
255	189	413
256	210	433
257	201	434
258	150	400
259	135	395
260	143	407
261	142	414
262	140	430
263	121	432
264	109	441
265	138.5	442
266	167	442
267	168	435
268	184	440
269	194	442
270	200	442
271	212	443
272	220	443
273	246	444
274	246	455
275	252	458
276	257	460.5
277	255.5	466
278	249	464
279	247	469
280	254	472
281	251.5	477
282	259	478
283	261	470
284	255	494
285	240	495
286	241	514
287	236	514
288	235	496
289	232	487
290	235.5	486.5
291	245	474
292	225	457.5
293	225	451
294	219	451
295	219	462
296	228.5	472
297	213	481
298	211	487
299	208.5	496
300	206	507
301	206	515
302	200	514
303	200	507
304	200	497
305	200	484
306	206	466
307	194	466
308	184	463.5
309	184	475
310	193.5	475
311	193	484
312	184	484
313	184	496.5
314	192.5	496.5
315	192	507
316	192	514
317	170	516.5
318	168	507
319	167	495.5
320	101	343
321	91	355
322	70	377
323	46	371
324	56	424
325	20	442
326	74	326
327	76	302
328	15	240
329	28	161
330	34.5	164.5
331	30	181
332	27	206
333	42	242
334	30	246
335	31	254
336	39	254
337	50	289
338	72	288
339	60	246
340	95	299
341	81	297
342	80	287
343	67	314
344	21	330
345	36	360
346	76	344
347	97	339
348	103	337
349	104	341
350	97	345
351	89	345
352	81	344.5
353	81	350
354	89	350
355	92.5	351.5
356	88	353
357	81.5	353
358	87	359
359	84	361
360	76	355
361	58.5	370
362	34	306
363	38	418.5
364	61	425
365	57	429
366	60	433
367	85	369
368	107.5	362
369	131	366.5
370	170	342
371	174	340
372	232.5	264
373	202	223
374	241	210
375	235	197.5
376	228	173
377	214	164
378	278	196
379	267	168
380	90	167
381	123	177.5
382	143	153
383	192	264
384	145	285
385	133	255
386	90	198
387	21	15
388	60	68
389	70	84
390	27	149
391	62	143
392	58	176
393	58	160
394	72	163
395	70	176.5
396	90	178
397	115	168
398	115	177.5
399	123	168
400	123	164
401	123	155
402	143	164
403	144	168
404	149	177
405	128	178
406	128	188
407	164	194
408	156	177
409	168	177
410	156	169
411	167	168
412	172	167
413	167	164
414	160	164
415	163	153.5
416	186	168
417	269	133
418	295	112
419	302	112
420	316	141
421	278	143
422	284	173
423	257.5	170
424	239	198
425	241	198
426	246	199
427	246.5	202
428	240	202
429	236	201
430	231	199
431	232	206.5
432	239.5	207.5
433	242	206
434	235	209.5
435	237.5	212
436	246	208
437	200	194
438	170	222
439	59	189
440	72	189
441	90	187.5
442	74	198
443	60	196
444	90	211
445	151	236
446	160	244
447	90	222
448	129	248
449	142	265
450	152	255.5
451	155	258
452	163	258
453	171	258
454	171	252.5
455	171	247
456	214	235
457	244	238
458	268	237
459	259	255
460	188	261
461	184	253
462	171	263
463	171	268
464	163	268
465	154	268.5
466	151	275
467	148	274
468	162	277.5
469	177	281
470	187	284
471	155	316
472	159	292
473	125	267
474	107	285
475	382.5	267
476	373	250
477	330	219
478	400	247
479	441	442
480	417	312
481	332	246
482	321	275
483	403	140
484	420	269
485	455	335
486	295.5	238
487	294	244
488	316	300
489	308	257.5
490	327	255
491	316	236
492	314	230
493	313	223
494	317	215
495	318.5	222
496	320	229
497	326.5	227.5
498	325	220
499	323	213
500	329	212
501	332	226
502	334	210.5
503	346	209
504	342	200
505	356	202
506	358	195
507	345	194
508	348	188
509	357.5	188
510	359	159
511	404	161
512	403	202
513	379	202
514	386	213
515	373	213
516	363	212
517	362	218
518	354	216.5
519	348	215
520	349	222
521	353	223
522	371	224
523	371	218.5
524	375	219
525	388.5	218
526	405	213.5
527	389	224.5
528	388	233
529	353	229.5
530	334	232
531	336	239
532	352	247
533	353	236
534	362.5	236
535	370	236
536	388	237
537	395.5	237.5
538	395	233
539	408.5	227
540	430	237
541	450	268
542	394	254
543	387	250
544	383	250
545	369	249.5
546	367.5	249
547	362	249
548	350	251
549	348	255
550	355	265
551	367	265
552	367	257.5
553	375	258
554	376	260
555	381	260
556	378	266
557	380	270.5
558	371	284
559	356.5	281
560	338	297
561	372	307
562	398	308
563	392	277
